questions/id,questions/text,questions/question_type,questions/options,questions/correct_answer,questions/difficulty
52,"Si A=1, B=2, ..., Z=26, ¿cuánto vale la palabra LOGICA?",logical,"[""45"",""50"",""55"",""60""]",45,1.9
53,"Identifica el intruso: Rojo, Azul, Verde, Nube",logical,"[""Rojo"",""Azul"",""Verde"",""Nube""]",Nube,1
54,Completa la analogía: Llave es a Puerta como Contraseña es a...,logical,"[""Internet"",""Cerradura"",""Acceso"",""Archivo""]",Acceso,1.3
55,"¿Qué número sigue en la serie? 1, 4, 9, 16, ...",logical,"[""20"",""25"",""30"",""36""]",25,1.6
56,"Si todos los gatos son mamíferos y algunos mamíferos son carnívoros, entonces:",logical,"[""Todos los gatos son carnívoros"",""Algunos gatos son carnívoros"",""Ningún gato es carnívoro"",""No se puede determinar""]",No se puede determinar,1.9
57,"Si A=1, B=2, ..., Z=26, ¿cuánto vale la palabra LOGICA?",logical,"[""45"",""50"",""55"",""60""]",45,1
58,"Identifica el intruso: Rojo, Azul, Verde, Nube",logical,"[""Rojo"",""Azul"",""Verde"",""Nube""]",Nube,1.3
59,Completa la analogía: Llave es a Puerta como Contraseña es a...,logical,"[""Internet"",""Cerradura"",""Acceso"",""Archivo""]",Acceso,1.6
60,"¿Qué número sigue en la serie? 1, 4, 9, 16, ...",logical,"[""20"",""25"",""30"",""36""]",25,1.9
61,"Si todos los gatos son mamíferos y algunos mamíferos son carnívoros, entonces:",logical,"[""Todos los gatos son carnívoros"",""Algunos gatos son carnívoros"",""Ningún gato es carnívoro"",""No se puede determinar""]",No se puede determinar,1
62,"Si A=1, B=2, ..., Z=26, ¿cuánto vale la palabra LOGICA?",logical,"[""45"",""50"",""55"",""60""]",45,1.3
63,"Identifica el intruso: Rojo, Azul, Verde, Nube",logical,"[""Rojo"",""Azul"",""Verde"",""Nube""]",Nube,1.6
64,Completa la analogía: Llave es a Puerta como Contraseña es a...,logical,"[""Internet"",""Cerradura"",""Acceso"",""Archivo""]",Acceso,1.9
65,"Selecciona la palabra que no pertenece: León, Tigre, Perro, Gato",verbal,"[""León"",""Tigre"",""Perro"",""Gato""]",Perro,1
66,Completa la analogía: Martillo es a Clavo como Tijeras es a...,verbal,"[""Cortar"",""Papel"",""Tela"",""Hilo""]",Cortar,1.3
67,¿Cuál es el antónimo de 'fuerte'?,verbal,"[""Débil"",""Robusto"",""Grande"",""Sólido""]",Débil,1.6
68,El sinónimo de 'rápido' es:,verbal,"[""Ágil"",""Lento"",""Pesado"",""Tardo""]",Ágil,1.9
69,¿Cuál de estas palabras está relacionada con 'sabiduría'?,verbal,"[""Conocimiento"",""Ignorancia"",""Torpeza"",""Miedo""]",Conocimiento,1
70,"Selecciona la palabra que no pertenece: León, Tigre, Perro, Gato",verbal,"[""León"",""Tigre"",""Perro"",""Gato""]",Perro,1.3
71,Completa la analogía: Martillo es a Clavo como Tijeras es a...,verbal,"[""Cortar"",""Papel"",""Tela"",""Hilo""]",Cortar,1.6
72,¿Cuál es el antónimo de 'fuerte'?,verbal,"[""Débil"",""Robusto"",""Grande"",""Sólido""]",Débil,1.9
73,El sinónimo de 'rápido' es:,verbal,"[""Ágil"",""Lento"",""Pesado"",""Tardo""]",Ágil,1
74,¿Cuál de estas palabras está relacionada con 'sabiduría'?,verbal,"[""Conocimiento"",""Ignorancia"",""Torpeza"",""Miedo""]",Conocimiento,1.3
75,"Selecciona la palabra que no pertenece: León, Tigre, Perro, Gato",mathematical,"[""León"",""Tigre"",""Perro"",""Gato""]",Perro,1.6
76,Completa la analogía: Martillo es a Clavo como Tijeras es a...,mathematical,"[""Cortar"",""Papel"",""Tela"",""Hilo""]",Cortar,1.9
77,¿Cuál es el antónimo de 'fuerte'?,mathematical,"[""Débil"",""Robusto"",""Grande"",""Sólido""]",Débil,1
78,El sinónimo de 'rápido' es:,mathematical,"[""Ágil"",""Lento"",""Pesado"",""Tardo""]",Ágil,1.3
79,¿Cuál de estas palabras está relacionada con 'sabiduría'?,mathematical,"[""Conocimiento"",""Ignorancia"",""Torpeza"",""Miedo""]",Conocimiento,1.6
80,¿Cuál es la raíz cuadrada de 169?,mathematical,"[""11"",""12"",""13"",""14""]",13,1.9
81,"Si 3x = 21, entonces x =",mathematical,"[""5"",""6"",""7"",""8""]",7,1
82,¿Cuál es el resultado de 9 × 6?,mathematical,"[""52"",""53"",""54"",""55""]",54,1.3
83,¿Cuánto es 15 + 27?,mathematical,"[""41"",""42"",""43"",""44""]",42,1.6
84,¿Cuál es el número primo?,mathematical,"[""27"",""31"",""35"",""39""]",31,1.9
85,¿Cuál es la raíz cuadrada de 169?,spatial,"[""11"",""12"",""13"",""14""]",13,1
86,"Si 3x = 21, entonces x =",spatial,"[""5"",""6"",""7"",""8""]",7,1.3
87,¿Cuál es el resultado de 9 × 6?,spatial,"[""52"",""53"",""54"",""55""]",54,1.6
88,¿Cuánto es 15 + 27?,spatial,"[""41"",""42"",""43"",""44""]",42,1.9
89,¿Cuál es el número primo?,spatial,"[""27"",""31"",""35"",""39""]",31,1
90,¿Cuál es la raíz cuadrada de 169?,spatial,"[""11"",""12"",""13"",""14""]",13,1.3
91,"Si 3x = 21, entonces x =",spatial,"[""5"",""6"",""7"",""8""]",7,1.6
92,¿Cuál es el resultado de 9 × 6?,spatial,"[""52"",""53"",""54"",""55""]",54,1.9
93,¿Cuánto es 15 + 27?,spatial,"[""41"",""42"",""43"",""44""]",42,1
94,¿Cuál es el número primo?,spatial,"[""27"",""31"",""35"",""39""]",31,1.3
95,"Si cortas un cubo en 27 cubos pequeños, ¿cuántos tendrán exactamente 1 cara pintada?",spatial,"[""6"",""8"",""12"",""18""]",6,1.6
96,Un triángulo rectángulo tiene:,spatial,"[""Un ángulo de 90°"",""Todos iguales"",""Ninguno igual"",""Dos lados iguales""]",Un ángulo de 90°,1.9
97,Un pentágono tiene:,spatial,"[""4 lados"",""5 lados"",""6 lados"",""7 lados""]",5 lados,1
98,"Si doblas un triángulo equilátero a la mitad, obtienes:",spatial,"[""Dos triángulos iguales"",""Un cuadrado"",""Un rectángulo"",""Un trapecio""]",Dos triángulos iguales,1.3
99,La figura con más lados de estas opciones es:,spatial,"[""Hexágono"",""Octágono"",""Pentágono"",""Cuadrado""]",Octágono,1.6
